Group,N,Malignant_Recall,Malignant_Precision,AUROC
India,4369,0.709,0.688,0.783
China,3180,0.361,0.69,0.643
Nigeria,3162,0.372,0.687,0.655
Russia,2132,0.361,0.704,0.673
Brazil,2126,0.364,0.662,0.663
Japan,1691,0.346,0.704,0.669
South Korea,1456,0.312,0.689,0.663
Germany,1071,0.37,0.662,0.664
UK,1060,0.385,0.788,0.698
USA,1023,0.33,0.684,0.609
